B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon
3046,2170,622,973,1100,2904,0.9318181818181819,0.450549453496933,-0.4980655014514923,0.6757397927331752,2026-02-15,30.90455291417864,74.60768666171342
1533,806,333,574,397,3917,2.314266929651545,0.8159480690956116,-0.7443776726722717,1.2237802758141152,2026-02-15,30.93693014556208,74.57405717033691
2413,2028,1008,1307,1513,2171,0.44579945799458,0.1786102056503296,-0.2484186291694641,0.2678789523680282,2026-02-15,30.956113530518316,74.65249723357155
1898,1725,946,1133,1284,1525,0.28220140515222486,0.08579565584659576,-0.14747931063175201,0.12867058195408435,2026-02-15,30.92715131426231,74.62120136705319
2013,1364,318,588,612,1959,1.0371111795503543,0.5239206552505493,-0.5382803082466125,0.7857281742173828,2026-02-15,30.929891469201372,74.6327044543122
2192,1631,559,834,923,2209,0.9042328786387287,0.4106002449989319,-0.45185673236846924,0.6158020750199522,2026-02-15,30.934310014064582,74.6012846228909
1788,1296,348,597,633,1726,0.9373927958833619,0.4633319079875946,-0.48600947856903076,0.694850603941513,2026-02-15,30.929876497771275,74.62747092581624
2016,1668,881,1120,1236,1928,0.6319634703196347,0.2187104970216751,-0.2650918662548065,0.3280139042502765,2026-02-15,30.928113254437978,74.64213153590289
1972,1240,234,572,483,3399,1.604666519920757,0.7511591911315918,-0.7119113802909851,1.1265936896329685,2026-02-15,30.934382013212776,74.6253599251831
1558,665,124,445,164,4698,2.3848095939406693,0.9325380325317383,-0.8269492387771606,1.3986632390745501,2026-02-15,30.926345562295907,74.65574495457749
1454,751,297,599,389,3910,2.1910392034847543,0.8190276622772217,-0.7343091368675232,1.228398651005931,2026-02-15,30.89382519632875,74.64225911121832
1552,688,212,500,241,4659,2.445748449955713,0.9016326665878296,-0.8061639666557312,1.352310988674625,2026-02-15,30.954336630509093,74.66297351819361
2389,2005,832,1117,1329,2126,0.516058016058016,0.2306801676750183,-0.31113165616989136,0.3459701924468239,2026-02-15,30.953261717774538,74.60225290701702
2148,1878,1074,1352,1509,1989,0.4014720642355303,0.13722126185894012,-0.1906614750623703,0.2058024867800486,2026-02-15,30.957842091521222,74.6252683915301
2288,1740,484,758,965,1906,0.5784361937546103,0.32776036858558655,-0.4309309422969818,0.4915549364443671,2026-02-15,30.91639179765234,74.64531488565802
1393,625,183,427,200,4435,2.483288378093116,0.9137001037597656,-0.8243521451950073,1.3704023298457555,2026-02-15,30.92977894740629,74.59502313923898
1673,721,248,559,247,5228,2.566996495567924,0.9097716808319092,-0.806808352470398,1.3645329193680942,2026-02-15,30.943283717136218,74.58554445773727
2269,1702,880,1027,984,2255,2.0368589743589745,0.39240506291389465,-0.37416210770606995,0.5885167464114832,2026-02-20,30.909029061395934,74.5961570298781
1724,1294,761,869,796,1932,2.835746380429356,0.4164222776889801,-0.3795073330402374,0.6245189664650908,2026-02-20,30.929879509001832,74.62851763120194
2324,1990,1091,1195,1213,2192,1.8994955374466436,0.28751835227012634,-0.29436078667640686,0.43121421230362655,2026-02-20,30.947805281468618,74.58866567341316
2924,2170,1022,1198,1209,2859,1.6843609636586363,0.4056047201156616,-0.4094158113002777,0.6083323092048667,2026-02-20,30.90455291417864,74.60768666171342
1387,760,805,884,656,3841,4.574834817581155,0.7082499265670776,-0.6258201003074646,1.0622568093385214,2026-02-20,30.93693014556208,74.57405717033691
2371,2096,1255,1397,1491,2377,1.1587758304996076,0.22905895113945007,-0.2596714496612549,0.34354400930593254,2026-02-20,30.956113530518316,74.65249723357155
1927,1859,1252,1325,1418,1643,0.7381889763779527,0.07350538671016693,-0.1071428582072258,0.11024007839294463,2026-02-20,30.92715131426231,74.62120136705319
1959,1390,762,882,815,2035,2.518579686209744,0.42807018756866455,-0.39526912569999695,0.641992632871426,2026-02-20,30.929891469201372,74.6327044543122
2133,1662,1008,1125,1108,2281,2.1405109489051095,0.34611979126930237,-0.3394010663032532,0.519103112553474,2026-02-20,30.934310014064582,74.6012846228909
1753,1290,767,890,819,1902,2.5434476279943636,0.39801543951034546,-0.36246418952941895,0.5969134668381407,2026-02-20,30.929876497771275,74.62747092581624
2041,1793,1213,1330,1380,2067,1.373450619752099,0.1993037462234497,-0.21695613861083984,0.2989122552574329,2026-02-20,30.928113254437978,74.64213153590289
1959,1296,800,950,806,3267,2.9241920152091256,0.6042229533195496,-0.549442708492279,0.906223149625629,2026-02-20,30.934382013212776,74.6253599251831
1552,691,645,774,488,4513,3.8635054712996735,0.804839015007019,-0.7072063684463501,1.2071378586424073,2026-02-20,30.926345562295907,74.65574495457749
1456,802,630,774,551,3775,3.419601187950785,0.7452611923217773,-0.659705400466919,1.1177626256789552,2026-02-20,30.89382519632875,74.64225911121832
1423,658,744,861,573,4369,4.259425493716337,0.7681100964546204,-0.6707456707954407,1.1520485584218514,2026-02-20,30.954336630509093,74.66297351819361
2368,2110,1159,1279,1378,2203,1.1590334363585277,0.23038257658481598,-0.26536473631858826,0.3455256177579227,2026-02-20,30.953261717774538,74.60225290701702
2182,1989,1393,1517,1609,2073,0.9058961343225302,0.1260184645652771,-0.15487465262413025,0.1890020366598778,2026-02-20,30.957842091521222,74.6252683915301
2249,1839,891,1013,1082,2018,1.2797374897456932,0.30193549394607544,-0.3315737247467041,0.4528301886792453,2026-02-20,30.91639179765234,74.64531488565802
1246,577,744,824,564,4039,4.711225596529284,0.7549424171447754,-0.661114513874054,1.1322906484196809,2026-02-20,30.92977894740629,74.59502313923898
1568,700,765,894,574,4830,4.1931034482758625,0.787564754486084,-0.6876310110092163,1.1812378573411046,2026-02-20,30.943283717136218,74.58554445773727
2245,1550,618,911,827,2449,1.4602088584803745,0.4951159954071045,-0.45773810148239136,0.7425606592400427,2026-02-25,30.909029061395934,74.5961570298781
1740,1163,508,758,649,2254,1.715476699444207,0.552876353263855,-0.49667996168136597,0.829171689340451,2026-02-25,30.929879509001832,74.62851763120194
2346,1809,784,1027,1036,2414,1.2522719011268628,0.39942029118537903,-0.4030804932117462,0.5990436168671207,2026-02-25,30.947805281468618,74.58866567341316
2916,2024,747,1030,1070,2930,1.2404961984793919,0.4650000035762787,-0.47979798913002014,0.6974128233970753,2026-02-25,30.90455291417864,74.60768666171342
1378,750,477,659,481,3750,2.671188102631149,0.7726305723190308,-0.7010660171508789,1.1588089330024813,2026-02-25,30.93693014556208,74.57405717033691
2445,2079,1092,1348,1488,2414,0.7342213764668569,0.23731419444084167,-0.28335991501808167,0.3559256886611146,2026-02-25,30.956113530518316,74.65249723357155
1997,1826,1112,1255,1392,1643,0.3789251207729469,0.08270180970430374,-0.1338854432106018,0.12403228463185637,2026-02-25,30.92715131426231,74.62120136705319
1963,1250,484,758,641,2424,1.6878076486179476,0.5817291736602783,-0.5235700607299805,0.87245147610504,2026-02-25,30.929891469201372,74.6327044543122
2206,1639,741,963,1005,2301,1.1677779780140565,0.3920145332813263,-0.40992647409439087,0.587932859519129,2026-02-25,30.934310014064582,74.6012846228909
1753,1138,508,765,642,2278,1.7621714778112882,0.5602739453315735,-0.4972067177295685,0.8402670775552132,2026-02-25,30.929876497771275,74.62747092581624
2065,1714,1037,1231,1319,2091,0.8660533991474085,0.2263929545879364,-0.2588801980018616,0.3395396569417974,2026-02-25,30.928113254437978,74.64213153590289
1995,1254,502,784,647,3512,1.9731404958677687,0.6888675093650818,-0.6350092887878418,1.0331770645510279,2026-02-25,30.934382013212776,74.6253599251831
1531,665,412,635,356,4816,2.8863577530416773,0.8623356819152832,-0.7670152187347412,1.2933784436926052,2026-02-25,30.926345562295907,74.65574495457749
1462,774,536,763,539,3875,2.6990291262135924,0.7557770609855652,-0.670978844165802,1.1335372069317025,2026-02-25,30.89382519632875,74.64225911121832
1343,609,427,648,393,4374,2.8190058065429824,0.835116446018219,-0.7419354915618896,1.2525432616675407,2026-02-25,30.954336630509093,74.66297351819361
2481,2081,1005,1250,1416,2346,0.703373165935562,0.24720893800258636,-0.3047831058502197,0.3707641196013289,2026-02-25,30.953261717774538,74.60225290701702
2235,1950,1234,1446,1582,2123,0.572850487081745,0.1460188925266266,-0.18968899548053741,0.21899878558898936,2026-02-25,30.957842091521222,74.6252683915301
2315,1787,735,952,1062,2129,0.8922896805485868,0.3343779444694519,-0.3820188343524933,0.5014883283722388,2026-02-25,30.91639179765234,74.64531488565802
1223,561,352,532,333,4121,2.721264367816092,0.8504714965820312,-0.7713302969932556,1.275564036367718,2026-02-25,30.92977894740629,74.59502313923898
1512,680,425,657,376,4852,2.8534999362488844,0.8561591506004333,-0.7614812254905701,1.2841159032227216,2026-02-25,30.943283717136218,74.58554445773727
2221,1487,671,971,802,2950,1.9666727705548435,0.5724946856498718,-0.5047181844711304,0.8586275816122585,2026-03-02,30.909029061395934,74.5961570298781
1858,1247,574,790,673,2626,2.0688559322033897,0.5919975638389587,-0.5374706983566284,0.8878617972420064,2026-03-02,30.929879509001832,74.62851763120194
2388,1852,941,1124,1105,2730,1.7636205773822444,0.4237288236618042,-0.41670989990234375,0.6355103637074697,2026-03-02,30.947805281468618,74.58866567341316
2884,2059,763,1053,1093,2995,1.2410283178911654,0.4652642011642456,-0.479743093252182,0.6978109331050507,2026-03-02,30.90455291417864,74.60768666171342
1357,754,464,659,505,3820,2.4584692969445268,0.7664740085601807,-0.7057378888130188,1.1495780834585598,2026-03-02,30.93693014556208,74.57405717033691
2476,2193,1188,1431,1606,2363,0.6124595469255664,0.19072814285755157,-0.2456510215997696,0.286056178359995,2026-03-02,30.956113530518316,74.65249723357155
2060,1973,1202,1332,1510,1679,0.24492753623188407,0.05299466848373413,-0.11524410545825958,0.07947954224800126,2026-03-02,30.92715131426231,74.62120136705319
2005,1231,539,801,632,3011,2.153720803910918,0.6530331969261169,-0.5797481536865234,0.9794153972828324,2026-03-02,30.929891469201372,74.6327044543122
2240,1753,923,1114,1167,2314,1.1975360200459386,0.32950302958488464,-0.35005834698677063,0.49418354157690647,2026-03-02,30.934310014064582,74.6012846228909
1833,1157,581,812,662,2747,2.2063492063492065,0.611616313457489,-0.5436920523643494,0.917289925208975,2026-03-02,30.929876497771275,74.62747092581624
2130,1832,1146,1318,1415,2146,0.8949559255631734,0.2052794098854065,-0.23903001844882965,0.3078758949880668,2026-03-02,30.928113254437978,74.64213153590289
2003,1308,583,843,714,3642,2.0593613729075817,0.6721763014793396,-0.624080240726471,1.0081487432572018,2026-03-02,30.934382013212776,74.6253599251831
1411,658,481,659,421,4747,2.9496795308877677,0.8370742797851562,-0.7561967968940735,1.2554899874238172,2026-03-02,30.926345562295907,74.65574495457749
1508,851,517,754,564,3760,2.4452945677123186,0.739130437374115,-0.6659282445907593,1.108567464446757,2026-03-02,30.89382519632875,74.64225911121832
1270,610,420,633,410,4420,2.6869471991423213,0.8302277326583862,-0.7494557499885559,1.2452127108994928,2026-03-02,30.954336630509093,74.66297351819361
2446,2158,1134,1323,1465,2380,0.858027006751688,0.23797139525413513,-0.2854442298412323,0.3569106748147185,2026-03-02,30.953261717774538,74.60225290701702
2301,2082,1343,1536,1683,2182,0.5648630292053429,0.12910737097263336,-0.17374932765960693,0.19363601086534732,2026-03-02,30.957842091521222,74.6252683915301
2297,1833,832,1015,1118,2178,1.0011333585190783,0.321601927280426,-0.3642342686653137,0.4823297436675261,2026-03-02,30.91639179765234,74.64531488565802
1245,622,511,664,479,3985,2.8951279933938894,0.7853942513465881,-0.7143471837043762,1.1779594579460184,2026-03-02,30.92977894740629,74.59502313923898
1462,705,567,777,503,4577,3.046209062359803,0.801968514919281,-0.709749698638916,1.2028343666961914,2026-03-02,30.943283717136218,74.58554445773727
2282,1411,268,687,550,3221,1.4799423758865249,0.7083001732826233,-0.6484135389328003,1.0623094259578416,2026-03-07,30.909029061395934,74.5961570298781
1968,1257,185,538,442,2828,1.457188225235129,0.729663610458374,-0.6803327202796936,1.094328084390766,2026-03-07,30.929879509001832,74.62851763120194
2403,1774,557,852,921,2558,1.0473448496481126,0.4705375134944916,-0.5002932548522949,0.705704842649806,2026-03-07,30.947805281468618,74.58866567341316
2970,1977,526,949,984,3103,1.0463164131937588,0.518473207950592,-0.5315893292427063,0.7776146788990825,2026-03-07,30.90455291417864,74.60768666171342
1397,737,220,512,372,3592,1.9281437125748502,0.8123108148574829,-0.7504873275756836,1.2183125236473704,2026-03-07,30.93693014556208,74.57405717033691
2504,2124,1023,1343,1564,2239,0.4270530178413261,0.1774914562702179,-0.25013959407806396,0.2662021822006047,2026-03-07,30.956113530518316,74.65249723357155
2163,1978,1027,1250,1471,1635,0.14857764087697045,0.05280103161931038,-0.13344886898994446,0.0791887976822791,2026-03-07,30.92715131426231,74.62120136705319
2082,1154,127,502,356,3388,1.657736468015309,0.80982905626297,-0.7419022917747498,1.2145813860328483,2026-03-07,30.929891469201372,74.6327044543122
2381,1774,607,949,1030,2324,0.8184693232131562,0.38580799102783203,-0.42010387778282166,0.5786257266358623,2026-03-07,30.934310014064582,74.6012846228909
1910,1105,141,485,366,2944,1.578302926411167,0.7788519859313965,-0.7171186804771423,1.1681014952424105,2026-03-07,30.929876497771275,74.62747092581624
2202,1808,906,1204,1329,2162,0.6231298623578695,0.2386135756969452,-0.2846108078956604,0.357869110697408,2026-03-07,30.928113254437978,74.64213153590289
2049,1283,191,594,487,3552,1.5195835399107585,0.7588512301445007,-0.713458776473999,1.138135907909395,2026-03-07,30.934382013212776,74.6253599251831
1325,583,86,386,169,4756,2.2371244635193133,0.9313705563545227,-0.8498638868331909,1.3969140188813318,2026-03-07,30.926345562295907,74.65574495457749
1524,839,223,597,419,3416,1.7594223318069744,0.7814863324165344,-0.7024669647216797,1.1720766523269455,2026-03-07,30.89382519632875,74.64225911121832
1285,588,130,466,252,4235,2.086214121097842,0.8876755237579346,-0.801744282245636,1.3313649025069636,2026-03-07,30.954336630509093,74.66297351819361
2603,2178,909,1244,1485,2333,0.47893369479272563,0.22210581600666046,-0.3044450581073761,0.3331150975513945,2026-03-07,30.953261717774538,74.60225290701702
2399,2072,1035,1361,1606,2167,0.34702461957194114,0.14868804812431335,-0.22845804691314697,0.22300251755664502,2026-03-07,30.957842091521222,74.6252683915301
2389,1792,506,832,993,2190,0.6872990353697749,0.3760603070259094,-0.4493712782859802,0.5640018847180777,2026-03-07,30.91639179765234,74.64531488565802
1282,610,134,425,256,3746,2.0395044413277232,0.8720639944076538,-0.7962119579315186,1.3079325421611494,2026-03-07,30.92977894740629,74.59502313923898
1481,659,84,447,198,4599,2.1330942225668865,0.9174484014511108,-0.8228299617767334,1.376029181865555,2026-03-07,30.943283717136218,74.58554445773727
2392,1534,356,737,636,3142,1.460713453019352,0.6633139252662659,-0.6200051307678223,0.9948392219134577,2026-03-27,30.909029061395934,74.5961570298781
2171,1461,323,621,569,2631,1.422657651441976,0.6443750262260437,-0.6180811524391174,0.9664114982034058,2026-03-27,30.929879509001832,74.62851763120194
2446,1827,659,919,943,2588,1.2445150552277198,0.46587368845939636,-0.47590532898902893,0.6987115956392468,2026-03-27,30.947805281468618,74.58866567341316
3200,2237,642,1055,1127,3003,0.9472833770955362,0.45423728227615356,-0.48003941774368286,0.6812734535770488,2026-03-27,30.90455291417864,74.60768666171342
1689,1042,356,731,713,2656,1.138921453692849,0.5767289996147156,-0.5683495998382568,0.864965128357323,2026-03-27,30.93693014556208,74.57405717033691
2708,2314,1178,1488,1683,2478,0.5311330839123464,0.19105984270572662,-0.24962177872657776,0.28655532860747324,2026-03-27,30.956113530518316,74.65249723357155
2345,2194,1208,1418,1618,1771,0.15805785123966942,0.04514605924487114,-0.11069300770759583,0.06770910163740965,2026-03-27,30.92715131426231,74.62120136705319
2075,1168,143,469,335,3194,1.7295825771324864,0.8101445436477661,-0.7439257502555847,1.2150446238844028,2026-03-27,30.929891469201372,74.6327044543122
2508,1893,672,1023,1098,2441,0.8414786967418546,0.37948572635650635,-0.4093533456325531,0.5691481847718605,2026-03-27,30.934310014064582,74.6012846228909
1904,1144,244,502,426,2640,1.643896643896644,0.7221134901046753,-0.6804583072662354,1.0829936409587477,2026-03-27,30.929876497771275,74.62747092581624
2339,1920,976,1265,1352,2366,0.8024691358024691,0.27272728085517883,-0.3032222390174866,0.409035901573215,2026-03-27,30.928113254437978,74.64213153590289
2179,1406,310,713,649,2996,1.2850416119141481,0.6438957452774048,-0.6155297756195068,0.9657111507337814,2026-03-27,30.934382013212776,74.6253599251831
1298,644,85,386,231,2962,1.8395527414791863,0.855308473110199,-0.7694146037101746,1.2827618600281823,2026-03-27,30.926345562295907,74.65574495457749
2082,1424,422,799,914,2649,0.8729120547393842,0.48694920539855957,-0.5365429520606995,0.7303213133155605,2026-03-27,30.89382519632875,74.64225911121832
1417,799,216,583,510,2583,1.2878976143141152,0.67022305727005,-0.6317119598388672,1.00517213512203,2026-03-27,30.954336630509093,74.66297351819361
2803,2388,1118,1434,1638,2438,0.5151983513652756,0.19627085328102112,-0.25929751992225647,0.2943701704893904,2026-03-27,30.953261717774538,74.60225290701702
2586,2253,1273,1599,1793,2350,0.39098694370349574,0.13444364070892334,-0.19017472863197327,0.2016411246530711,2026-03-27,30.957842091521222,74.6252683915301
2466,1869,576,907,1004,2462,0.8747300215982722,0.42065781354904175,-0.46156129240989685,0.6308957161401991,2026-03-27,30.91639179765234,74.64531488565802
1572,999,216,555,689,2078,0.7560418027433051,0.5019876956939697,-0.5784276723861694,0.7528455284552845,2026-03-27,30.92977894740629,74.59502313923898
1567,818,213,611,438,3158,1.6231053825038788,0.7563959956169128,-0.6757760643959045,1.1344362574725428,2026-03-27,30.943283717136218,74.58554445773727
2388,1523,517,858,735,3260,1.664030578621326,0.6320400238037109,-0.5832928419113159,0.9479414341133775,2026-04-06,30.909029061395934,74.5961570298781
2219,1478,447,709,644,2807,1.6290103931314956,0.6267748475074768,-0.5967007875442505,0.940026075619296,2026-04-06,30.929879509001832,74.62851763120194
2442,1771,728,964,971,2745,1.42512853470437,0.47739505767822266,-0.48018333315849304,0.7159962330149334,2026-04-06,30.947805281468618,74.58866567341316
3290,2290,793,1200,1236,3234,1.0619751249069842,0.4469798803329468,-0.45872801542282104,0.6703948104238899,2026-04-06,30.90455291417864,74.60768666171342
2346,1704,710,997,1255,2298,0.5789298401420959,0.29355475306510925,-0.39484065771102905,0.44027015618404386,2026-04-06,30.93693014556208,74.57405717033691
2777,2361,1069,1365,1569,2566,0.6288633783272359,0.24111245572566986,-0.305520236492157,0.36162495466086325,2026-04-06,30.956113530518316,74.65249723357155
2474,2285,1348,1569,1769,2001,0.23144453312051078,0.0615384615957737,-0.12100840359926224,0.0922954515316271,2026-04-06,30.92715131426231,74.62120136705319
2102,1198,304,556,432,3156,1.9631017584318247,0.7591972947120667,-0.7004310488700867,1.138637313640797,2026-04-06,30.929891469201372,74.6327044543122
2561,1845,716,1054,1062,2827,1.152088772845953,0.45384418964385986,-0.45684102177619934,0.6806787504820672,2026-04-06,30.934310014064582,74.6012846228909
1954,1167,380,597,513,2785,1.8845388188453882,0.6889023780822754,-0.6469544768333435,1.0331969076853116,2026-04-06,30.929876497771275,74.62747092581624
2522,2091,1161,1443,1530,2668,0.9056183351901957,0.27108147740364075,-0.29798102378845215,0.40657377634869596,2026-04-06,30.928113254437978,74.64213153590289
2385,1588,474,845,836,2941,1.1952078128548718,0.5573206543922424,-0.5536186099052429,0.8358702845797484,2026-04-06,30.934382013212776,74.6253599251831
2069,1342,494,920,991,2729,0.8740696037014685,0.4672043025493622,-0.4957522749900818,0.7007122698562022,2026-04-06,30.926345562295907,74.65574495457749
2363,1751,551,865,1039,2366,0.7424191563164373,0.38972100615501404,-0.4645620584487915,0.5844956687711056,2026-04-06,30.89382519632875,74.64225911121832
2128,1491,608,947,1200,2224,0.526207605344296,0.29906541109085083,-0.4027120769023895,0.44853263250109504,2026-04-06,30.954336630509093,74.66297351819361
2805,2344,1157,1490,1682,2605,0.573933590349459,0.21530207991600037,-0.27228328585624695,0.3229154518950437,2026-04-06,30.953261717774538,74.60225290701702
2611,2270,1360,1678,1864,2472,0.4396875903962974,0.14022140204906464,-0.19132530689239502,0.21030785195434104,2026-04-06,30.957842091521222,74.6252683915301
2573,1877,801,1116,1123,2864,1.2105409539702405,0.43666917085647583,-0.43919599056243896,0.6549216300940439,2026-04-06,30.91639179765234,74.64531488565802
2573,1849,723,1083,1532,2319,0.32309713441169224,0.20436249673366547,-0.3633157014846802,0.30650395949630016,2026-04-06,30.92977894740629,74.59502313923898
2528,1689,747,1200,1482,2836,0.5525177507549172,0.31357109546661377,-0.405351847410202,0.4703021882598124,2026-04-06,30.943283717136218,74.58554445773727
2254,1398,469,802,679,3182,1.6733520524134242,0.6482776403427124,-0.5973895788192749,0.9722905606629548,2026-04-08,30.909029061395934,74.5961570298781
2136,1423,416,681,631,2733,1.5455882352941177,0.6248513460159302,-0.6010544896125793,0.937137761925992,2026-04-08,30.929879509001832,74.62851763120194
2485,1832,772,1008,1032,2754,1.3636363636363635,0.45483359694480896,-0.46411484479904175,0.6821603063515119,2026-04-08,30.947805281468618,74.58866567341316
