system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon,.geo
20230117T045131_20230117T045127_T45RUJ_2_46_0,2932,2380,1597,1833,1944,2868,0.9039326941890041,0.19201995,-0.22016592,0.28800000000000003,2023-01-17,25.424024059297427,85.22726943789075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.22726943789075,25.424024059297427]}"
20230117T045131_20230117T045127_T45RUK_2_27_0,2834,2103,2472,2540,2310,3796,-4.207248018120046,0.24336718,-0.19823232,0.36502087939081307,2023-01-17,26.705622720054997,85.51189613417614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.51189613417614,26.705622720054997]}"
20230117T045131_20230117T045127_T45RVH_2_18_0,3402,2614,1620,1914,1919,4008,1.5483249332938036,0.35245487,-0.35359675,0.5286377056094475,2023-01-17,25.045662488345815,86.82745542085473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82745542085473,25.045662488345815]}"
20230117T045131_20230117T045127_T45RVH_2_21_0,3275,2711,1778,2058,2030,3842,1.6852678571428572,0.3085831,-0.30237287,0.4628352490421456,2023-01-17,25.115300099257308,87.0191935082139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0191935082139,25.115300099257308]}"
20230117T045131_20230117T045127_T45RVH_2_34_0,3646,2907,1660,2015,2092,3708,1.0600892154290213,0.2786207,-0.29582387,0.4178950090509439,2023-01-17,25.05959631089119,86.60485417027094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60485417027094,25.05959631089119]}"
20230117T045131_20230117T045127_T45RVH_2_49_0,2388,1678,1437,1681,1394,4569,3.6807326686760957,0.5324501,-0.46208,0.7986081998826192,2023-01-17,25.308008774376134,86.16604545464368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16604545464368,25.308008774376134]}"
20230117T045131_20230117T045127_T45RVJ_2_1_0,3325,2872,2014,2306,2354,3910,1.3276450511945392,0.24840358,-0.25804377,0.37257562455104154,2023-01-17,25.639229604428664,86.56052872090477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.56052872090477,25.639229604428664]}"
20230117T045131_20230117T045127_T45RVJ_2_6_0,2610,1878,1654,1918,1676,4579,3.2530255490811295,0.4641087,-0.40957364,0.6961074254655902,2023-01-17,25.756519303883366,86.4274766105735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.4274766105735,25.756519303883366]}"
20230117T045131_20230117T045127_T45RVJ_2_9_0,3109,2683,2236,2512,2476,2774,0.8652729384436701,0.056761906,-0.049564887,0.085134749071517,2023-01-17,25.652898925433398,86.542146823988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.542146823988,25.652898925433398]}"
20230117T045131_20230117T045127_T45RVJ_2_11_0,2428,1777,1628,1809,1714,3216,2.9085979860573197,0.30466533,-0.28,0.45695162762397323,2023-01-17,25.741058031954445,86.64899053957265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.64899053957265,25.741058031954445]}"
20230117T045131_20230117T045127_T45RVJ_2_25_0,2968,2207,2084,2308,2118,4074,4.241110147441457,0.31589147,-0.27671576,0.4737989503431571,2023-01-17,26.116680375417918,86.7750022002761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7750022002761,26.116680375417918]}"
20230117T045131_20230117T045127_T45RVJ_2_31_0,2643,2052,1796,2038,1831,3742,3.7946783161239077,0.3429033,-0.2948097,0.5143087826320983,2023-01-17,25.86374600366304,86.8357668367509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.8357668367509,25.86374600366304]}"
20230117T045131_20230117T045127_T45RVJ_2_33_0,2895,2257,2114,2316,2116,3467,10.93042071197411,0.24198459,-0.19903165,0.3629443897197099,2023-01-17,26.156488208495432,86.41653356233715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.41653356233715,26.156488208495432]}"
20230117T045131_20230117T045127_T45RVJ_2_38_0,3044,2246,1746,2060,1845,4100,2.715558766859345,0.37931034,-0.33116883,0.5689176688251619,2023-01-17,26.127647475224002,86.02547942897066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.02547942897066,26.127647475224002]}"
20230117T045131_20230117T045127_T45RVJ_2_47_0,2534,1819,1548,1709,1536,3967,3.861181702668361,0.44175905,-0.39781538,0.6625783592259471,2023-01-17,25.495907087905184,86.62065197352018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.62065197352018,25.495907087905184]}"
20230117T045131_20230117T045127_T45RVJ_2_49_0,2404,1677,1287,1581,1314,4620,2.897458369851008,0.5571284,-0.49008223,0.835622209116185,2023-01-17,25.308008774376134,86.16604545464368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16604545464368,25.308008774376134]}"
20230117T045131_20230117T045127_T45RVK_2_29_0,3366,2676,2712,2880,2790,3590,-222.22222222222223,0.12539186,-0.10973725,0.18807303502860276,2023-01-17,26.374804021765485,86.35098756900341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.35098756900341,26.374804021765485]}"
20230117T045131_20230117T045127_T45RVK_2_33_0,2850,2239,2268,2412,2200,3448,-8.642659279778393,0.22096318,-0.1767918,0.33141542002301494,2023-01-17,26.156488208495432,86.41653356233715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.41653356233715,26.156488208495432]}"
20230117T045131_20230117T045127_T45RWH_2_21_0,3286,2717,1731,2021,1997,3846,1.6239241173370806,0.31644702,-0.31106186,0.47462993069222215,2023-01-17,25.115300099257308,87.0191935082139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0191935082139,25.115300099257308]}"
20230117T045131_20230117T045127_T45RWJ_2_3_0,7595,6714,6712,6912,7196,7880,2.384937238493724,0.045370124,-0.06544078,0.06805293005671079,2023-01-17,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20230117T045131_20230117T045127_T45RWJ_2_37_0,3251,2546,2148,2390,2214,3566,4.56140350877193,0.23391004,-0.19744796,0.35083470288037366,2023-01-17,25.94916546407544,87.3264548683133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.3264548683133,25.94916546407544]}"
20230117T054149_20230117T054149_T43RDP_1_4_0,2387,1850,1563,1771,1614,3757,3.1157313172433847,0.3989946,-0.35926193,0.5984361910080983,2023-01-17,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20230117T054149_20230117T054149_T43RDP_1_7_0,2287,1687,1492,1758,1539,4252,2.9527644754026996,0.4684856,-0.41497505,0.7026677026677027,2023-01-17,30.470432435669107,75.01109495890387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01109495890387,30.470432435669107]}"
20230117T054149_20230117T054149_T43RDP_1_10_0,2311,1678,1458,1648,1459,4272,3.3616156787762907,0.4908393,-0.44324324,0.7361947134258048,2023-01-17,30.40355814698842,74.95768052503085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95768052503085,30.40355814698842]}"
20230117T054149_20230117T054149_T43RDP_1_12_0,2352,1771,1504,1678,1524,4040,3.3018372703412076,0.45219266,-0.4130815,0.6782280528349358,2023-01-17,30.20633041101837,74.87880214562907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87880214562907,30.20633041101837]}"
20230117T054149_20230117T054149_T43RDP_1_14_0,2497,1947,1471,1691,1504,3338,3.446072904922961,0.3787691,-0.3275005,0.5680949922560661,2023-01-17,30.000514756929327,74.18055005741631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18055005741631,30.000514756929327]}"
20230117T054149_20230117T054149_T43RDP_1_17_0,2361,1627,1371,1595,1279,5340,3.7154620311070445,0.6135368,-0.54001445,0.9202356673464764,2023-01-17,30.435064093888105,74.65878495489407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65878495489407,30.435064093888105]}"
20230117T054149_20230117T054149_T43RDQ_1_22_0,2849,2466,1814,1874,1926,2684,2.9795597484276732,0.16442516,-0.17770952,0.24661099663810868,2023-01-17,30.98851090042315,74.55136245942504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.55136245942504,30.98851090042315]}"
20230117T054149_20230117T054149_T43RDQ_1_24_0,2159,1604,1446,1580,1366,3873,5.116326530612245,0.47852644,-0.42050248,0.7177211565989121,2023-01-17,31.11546065864115,74.80110315150363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80110315150363,31.11546065864115]}"
20230117T054149_20230117T054149_T43REP_1_3_0,3144,2569,1742,1886,1828,3238,3.086690017513135,0.2783261,-0.26385635,0.4174479423665252,2023-01-17,30.25621995680844,75.29911897826734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.29911897826734,30.25621995680844]}"
